DateTime,Humidity(%),Temperature(°C),MQ5_LPG,MQ8_H2,MQ7_CO,MQ135_Alcohol,MQ135_CO2,MQ135_Toluen,MQ135_NH4,MQ135_Aceton
2024-12-22 23:10:32,71.90,23.70,0.86,52.72,0.64,1.29,425.16,0.53,4.25,0.45
2024-12-22 23:10:34,71.90,23.70,0.85,52.45,0.62,1.32,425.22,0.55,4.33,0.47
2024-12-22 23:10:36,71.90,23.70,0.84,52.54,0.63,1.27,425.12,0.53,4.19,0.45
2024-12-22 23:10:38,71.90,23.70,0.86,52.72,0.64,1.31,425.20,0.54,4.30,0.46
2024-12-22 23:10:40,71.90,23.70,0.84,52.35,0.63,1.27,425.12,0.53,4.19,0.45
2024-12-22 23:10:43,71.90,23.70,0.86,52.35,0.64,1.30,425.18,0.54,4.27,0.46
2024-12-22 23:10:45,71.90,23.70,0.86,52.63,0.64,1.28,425.14,0.53,4.22,0.45
2024-12-22 23:10:47,71.90,23.70,0.86,52.35,0.64,1.27,425.12,0.53,4.19,0.45
2024-12-22 23:10:49,71.90,23.70,0.89,53.00,0.65,1.36,425.29,0.56,4.41,0.48
2024-12-22 23:10:51,71.80,23.70,0.88,53.00,0.65,1.35,425.27,0.56,4.38,0.47
2024-12-22 23:10:54,71.90,23.70,0.89,53.10,0.65,1.35,425.27,0.56,4.38,0.47
2024-12-22 23:10:56,71.90,23.70,0.87,53.00,0.65,1.35,425.27,0.56,4.38,0.47
2024-12-22 23:10:58,71.80,23.70,0.87,52.82,0.64,1.31,425.20,0.54,4.30,0.46
2024-12-22 23:11:00,71.90,23.70,0.87,52.54,0.65,1.30,425.18,0.54,4.27,0.46
2024-12-22 23:11:03,71.90,23.70,0.84,52.07,0.63,1.30,425.18,0.54,4.27,0.46
2024-12-22 23:11:05,71.90,23.70,0.90,53.47,0.66,1.38,425.33,0.57,4.47,0.49
2024-12-22 23:11:07,71.90,23.70,0.72,49.78,0.56,1.03,424.65,0.42,3.57,0.36
2024-12-22 23:11:09,71.90,23.70,0.69,50.05,0.57,1.02,424.62,0.41,3.52,0.35
2024-12-22 23:11:11,71.90,23.70,0.71,49.96,0.56,1.02,424.62,0.41,3.52,0.35
2024-12-22 23:11:14,71.90,23.70,0.70,49.78,0.56,1.01,424.60,0.41,3.50,0.35
2024-12-22 23:11:16,71.80,23.70,0.69,49.59,0.56,0.99,424.57,0.40,3.45,0.34
2024-12-22 23:11:18,71.90,23.70,0.68,49.32,0.55,0.97,424.54,0.39,3.41,0.34
2024-12-22 23:11:20,71.80,23.70,0.75,50.69,0.59,1.11,424.81,0.46,3.78,0.39
2024-12-22 23:11:22,71.90,23.70,0.67,49.23,0.60,1.16,424.91,0.48,3.91,0.41
2024-12-22 23:11:25,71.80,23.70,0.82,51.80,0.61,1.21,425.00,0.50,4.03,0.42
2024-12-22 23:11:27,71.80,23.70,0.82,51.80,0.61,1.18,424.95,0.48,3.96,0.41
2024-12-22 23:11:29,71.90,23.70,0.62,48.32,0.53,0.89,424.36,0.36,3.16,0.30
2024-12-22 23:11:31,71.80,23.70,0.64,48.59,0.54,0.87,424.33,0.35,3.12,0.30
2024-12-22 23:11:34,71.80,23.70,0.64,48.41,0.53,0.89,424.36,0.36,3.16,0.30
2024-12-22 23:11:36,71.90,23.60,0.67,49.14,0.55,0.94,424.47,0.38,3.32,0.32
2024-12-22 23:11:38,71.90,23.70,0.66,48.96,0.54,0.94,424.47,0.38,3.32,0.32
2024-12-22 23:11:40,71.90,23.70,0.67,49.14,0.55,0.96,424.50,0.39,3.36,0.33
2024-12-22 23:11:42,71.90,23.60,0.67,49.14,0.55,0.95,424.49,0.38,3.34,0.33
2024-12-22 23:11:45,71.80,23.60,0.67,49.14,0.55,0.95,424.49,0.38,3.34,0.33
2024-12-22 23:11:47,71.90,23.70,0.66,49.05,0.55,0.93,424.45,0.38,3.29,0.32
2024-12-22 23:11:49,71.80,23.60,0.73,50.33,0.58,1.05,424.69,0.43,3.61,0.37
2024-12-22 23:11:51,71.90,23.60,0.72,50.51,0.58,1.08,424.74,0.44,3.69,0.38
