DateTime,Humidity(%),Temperature(°C),MQ5_LPG,MQ8_H2,MQ7_CO,MQ135_Alcohol,MQ135_CO2,MQ135_Toluen,MQ135_NH4,MQ135_Aceton
2024-12-22 22:24:01,72.00,23.50,0.88,53.29,0.66,1.31,425.19,0.54,4.29,0.46
2024-12-22 22:24:03,72.00,23.50,0.87,53.19,0.66,1.31,425.19,0.54,4.29,0.46
2024-12-22 22:24:05,72.00,23.50,0.89,53.19,0.66,1.33,425.24,0.55,4.34,0.47
2024-12-22 22:24:08,72.00,23.50,0.88,52.80,0.65,1.30,425.17,0.54,4.26,0.46
2024-12-22 22:24:10,72.00,23.50,0.87,52.42,0.64,1.24,425.07,0.51,4.12,0.44
2024-12-22 22:24:12,72.00,23.50,0.85,52.52,0.64,1.24,425.07,0.51,4.12,0.44
2024-12-22 22:24:14,71.90,23.50,0.82,52.52,0.63,1.19,424.97,0.49,3.99,0.42
2024-12-22 22:24:17,72.00,23.50,0.83,52.13,0.63,1.15,424.89,0.47,3.88,0.40
2024-12-22 22:24:19,72.00,23.50,0.82,52.13,0.64,1.23,425.05,0.51,4.09,0.43
2024-12-22 22:24:21,72.00,23.50,0.79,51.56,0.63,1.20,424.99,0.49,4.01,0.42
2024-12-22 22:24:23,72.00,23.50,0.81,51.85,0.62,1.10,424.79,0.45,3.76,0.38
2024-12-22 22:24:25,72.00,23.50,0.80,51.46,0.63,1.15,424.89,0.47,3.88,0.40
2024-12-22 22:24:28,72.00,23.50,0.78,51.75,0.62,1.17,424.93,0.48,3.93,0.41
2024-12-22 22:24:30,72.00,23.50,0.83,52.13,0.64,1.22,425.03,0.50,4.07,0.43
2024-12-22 22:24:32,72.00,23.50,0.87,52.71,0.65,1.23,425.05,0.51,4.09,0.43
2024-12-22 22:24:34,72.10,23.50,0.87,53.00,0.66,1.30,425.17,0.54,4.26,0.46
2024-12-22 22:24:36,72.00,23.50,0.87,52.90,0.65,1.29,425.15,0.53,4.23,0.45
2024-12-22 22:24:39,72.00,23.50,0.87,52.90,0.65,1.28,425.13,0.53,4.20,0.45
2024-12-22 22:24:41,72.00,23.50,0.90,53.48,0.67,1.35,425.28,0.56,4.40,0.48
2024-12-22 22:24:43,72.00,23.50,0.88,53.09,0.66,1.32,425.21,0.55,4.31,0.46
2024-12-22 22:24:45,72.00,23.50,0.91,53.38,0.67,1.33,425.24,0.55,4.34,0.47
2024-12-22 22:24:48,72.00,23.50,0.90,53.19,0.67,1.33,425.24,0.55,4.34,0.47
2024-12-22 22:24:50,72.00,23.50,0.85,52.61,0.65,1.25,425.09,0.52,4.15,0.44
2024-12-22 22:24:52,72.00,23.50,0.86,52.61,0.64,1.24,425.07,0.51,4.12,0.44
2024-12-22 22:24:54,72.00,23.50,0.86,52.71,0.65,1.25,425.09,0.52,4.15,0.44
2024-12-22 22:24:56,72.00,23.50,0.88,53.09,0.66,1.29,425.15,0.53,4.23,0.45
2024-12-22 22:24:59,72.00,23.50,0.89,53.19,0.66,1.32,425.21,0.55,4.31,0.46
2024-12-22 22:25:01,72.00,23.50,0.84,52.71,0.64,1.25,425.09,0.52,4.15,0.44
2024-12-22 22:25:03,72.00,23.50,0.88,53.09,0.65,1.29,425.15,0.53,4.23,0.45
2024-12-22 22:25:05,72.00,23.50,0.90,52.52,0.66,1.35,425.28,0.56,4.40,0.48
2024-12-22 22:25:07,72.00,23.50,0.92,53.57,0.68,1.40,425.37,0.58,4.51,0.49
2024-12-22 22:25:10,72.00,23.50,0.92,53.57,0.68,1.36,425.30,0.57,4.43,0.48
