DateTime,Humidity(%),Temperature(°C),MQ5_LPG,MQ8_H2,MQ7_CO,MQ135_Alcohol,MQ135_CO2,MQ135_Toluen,MQ135_NH4,MQ135_Aceton
2024-12-22 23:08:14,,,,,,,,,,
2024-12-22 23:08:14,,,,,,,,,,
2024-12-22 23:08:14,,,0.81,,,,,,,
2024-12-22 23:08:14,,,,52.04,,,,,,
2024-12-22 23:08:14,,,,,0.62,,,,,
2024-12-22 23:08:14,,,,,,1.28,,,,
2024-12-22 23:08:14,,,,,,,425.13,,,
2024-12-22 23:08:14,,,,,,,,0.53,,
2024-12-22 23:08:14,,,,,,,,,4.20,
2024-12-22 23:08:14,,,,,,,,,,0.45
2024-12-22 23:08:15,,,,,,,,,,
2024-12-22 23:08:15,,,,,,,,,,
2024-12-22 23:08:15,,,0.85,,,,,,,
2024-12-22 23:08:15,,,,52.04,,,,,,
2024-12-22 23:08:15,,,,,0.63,,,,,
2024-12-22 23:08:15,,,,,,1.33,,,,
2024-12-22 23:08:15,,,,,,,425.24,,,
2024-12-22 23:08:15,,,,,,,,0.55,,
2024-12-22 23:08:16,,,,,,,,,4.34,
2024-12-22 23:08:16,,,,,,,,,,0.47
2024-12-22 23:08:17,,,,,,,,,,
2024-12-22 23:08:17,,,,,,,,,,
2024-12-22 23:08:17,,,0.85,,,,,,,
2024-12-22 23:08:17,,,,52.70,,,,,,
2024-12-22 23:08:17,,,,,0.63,,,,,
2024-12-22 23:08:17,,,,,,1.27,,,,
2024-12-22 23:08:17,,,,,,,425.11,,,
2024-12-22 23:08:17,,,,,,,,0.52,,
2024-12-22 23:08:17,,,,,,,,,4.18,
2024-12-22 23:08:17,,,,,,,,,,0.44
2024-12-22 23:08:19,,,,,,,,,,
2024-12-22 23:08:19,,,,,,,,,,
2024-12-22 23:08:19,,,0.88,,,,,,,
2024-12-22 23:08:19,,,,52.98,,,,,,
2024-12-22 23:08:19,,,,,0.65,,,,,
2024-12-22 23:08:19,,,,,,1.37,,,,
2024-12-22 23:08:19,,,,,,,425.32,,,
2024-12-22 23:08:19,,,,,,,,0.57,,
2024-12-22 23:08:19,,,,,,,,,4.45,
2024-12-22 23:08:19,,,,,,,,,,0.49
2024-12-22 23:08:20,,,,,,,,,,
2024-12-22 23:08:20,,,,,,,,,,
2024-12-22 23:08:20,,,0.90,,,,,,,
2024-12-22 23:08:20,,,,53.45,,,,,,
2024-12-22 23:08:20,,,,,0.66,,,,,
2024-12-22 23:08:21,,,,,,1.36,,,,
2024-12-22 23:08:21,,,,,,,425.30,,,
2024-12-22 23:08:21,,,,,,,,0.57,,
2024-12-22 23:08:21,,,,,,,,,4.43,
2024-12-22 23:08:21,,,,,,,,,,0.48
2024-12-22 23:08:22,,,,,,,,,,
2024-12-22 23:08:22,,,,,,,,,,
2024-12-22 23:08:22,,,0.91,,,,,,,
2024-12-22 23:08:22,,,,53.83,,,,,,
2024-12-22 23:08:22,,,,,0.67,,,,,
2024-12-22 23:08:22,,,,,,1.46,,,,
2024-12-22 23:08:22,,,,,,,425.48,,,
2024-12-22 23:08:22,,,,,,,,0.61,,
2024-12-22 23:08:22,,,,,,,,,4.66,
2024-12-22 23:08:22,,,,,,,,,,0.52
2024-12-22 23:08:24,,,,,,,,,,
2024-12-22 23:08:24,,,,,,,,,,
2024-12-22 23:08:24,,,0.94,,,,,,,
2024-12-22 23:08:24,,,,54.21,,,,,,
2024-12-22 23:08:24,,,,,0.68,,,,,
2024-12-22 23:08:24,,,,,,1.52,,,,
2024-12-22 23:08:24,,,,,,,425.59,,,
2024-12-22 23:08:24,,,,,,,,0.64,,
2024-12-22 23:08:24,,,,,,,,,4.81,
2024-12-22 23:08:24,,,,,,,,,,0.54
2024-12-22 23:08:26,,,,,,,,,,
2024-12-22 23:08:26,,,,,,,,,,
2024-12-22 23:08:26,,,0.95,,,,,,,
2024-12-22 23:08:26,,,,54.02,,,,,,
2024-12-22 23:08:26,,,,,0.68,,,,,
2024-12-22 23:08:26,,,,,,1.49,,,,
2024-12-22 23:08:26,,,,,,,425.55,,,
2024-12-22 23:08:26,,,,,,,,0.62,,
2024-12-22 23:08:26,,,,,,,,,4.75,
2024-12-22 23:08:26,,,,,,,,,,0.53
2024-12-22 23:08:27,,,,,,,,,,
2024-12-22 23:08:27,,,,,,,,,,
2024-12-22 23:08:27,,,0.92,,,,,,,
2024-12-22 23:08:27,,,,53.83,,,,,,
2024-12-22 23:08:27,,,,,0.67,,,,,
2024-12-22 23:08:27,,,,,,1.46,,,,
2024-12-22 23:08:27,,,,,,,425.48,,,
2024-12-22 23:08:27,,,,,,,,0.61,,
2024-12-22 23:08:27,,,,,,,,,4.66,
2024-12-22 23:08:27,,,,,,,,,,0.52
