DateTime,Humidity(%),Temperature(°C),MQ5_LPG,MQ8_H2,MQ7_CO,MQ135_Alcohol,MQ135_CO2,MQ135_Toluen,MQ135_NH4,MQ135_Aceton
2024-12-22 22:08:43,71.80,23.60,0.84,52.47,0.65,1.32,425.22,0.55,4.32,0.47
2024-12-22 22:08:45,71.90,23.60,0.84,52.17,0.64,1.29,425.15,0.53,4.23,0.45
2024-12-22 22:08:47,71.90,23.60,0.83,52.17,0.64,1.29,425.15,0.53,4.23,0.45
2024-12-22 22:08:50,71.90,23.60,0.84,52.27,0.64,1.31,425.20,0.54,4.29,0.46
2024-12-22 22:08:52,71.90,23.60,0.85,52.57,0.65,1.33,425.24,0.55,4.35,0.47
2024-12-22 22:08:54,71.90,23.60,0.85,52.47,0.64,1.32,425.22,0.55,4.32,0.47
2024-12-22 22:08:56,71.90,23.60,0.83,52.17,0.63,1.27,425.11,0.52,4.18,0.44
2024-12-22 22:08:59,71.90,23.60,0.81,51.67,0.63,1.24,425.07,0.51,4.12,0.44
2024-12-22 22:09:01,71.90,23.60,0.80,51.77,0.62,1.23,425.04,0.51,4.09,0.43
2024-12-22 22:09:03,71.90,23.60,0.78,51.28,0.62,1.20,424.98,0.49,4.01,0.42
2024-12-22 22:09:05,71.90,23.60,0.81,51.77,0.63,1.24,425.07,0.51,4.12,0.44
2024-12-22 22:09:07,71.90,23.60,0.82,52.07,0.64,1.30,425.17,0.54,4.26,0.46
2024-12-22 22:09:10,71.90,23.60,0.87,52.76,0.65,1.36,425.29,0.56,4.41,0.48
2024-12-22 22:09:12,71.90,23.70,0.89,53.16,0.66,1.42,425.40,0.59,4.56,0.50
2024-12-22 22:09:14,71.90,23.60,0.91,53.46,0.68,1.43,425.43,0.60,4.59,0.51
2024-12-22 22:09:16,71.80,23.60,0.92,53.86,0.68,1.48,425.52,0.62,4.72,0.52
2024-12-22 22:09:18,71.90,23.60,0.94,53.96,0.69,1.52,425.60,0.64,4.81,0.54
2024-12-22 22:09:21,71.90,23.60,0.95,54.06,0.69,1.53,425.62,0.64,4.84,0.54
2024-12-22 22:09:23,71.90,23.70,0.95,54.16,0.69,1.53,425.62,0.64,4.84,0.54
2024-12-22 22:09:25,71.90,23.70,0.95,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:09:27,72.00,23.70,0.96,54.46,0.70,1.54,425.65,0.65,4.87,0.55
2024-12-22 22:09:30,72.10,23.70,0.97,54.56,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:32,72.10,23.70,0.97,54.36,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:34,72.00,23.70,0.96,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:09:36,72.00,23.70,0.96,54.36,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:38,72.00,23.70,0.97,54.56,0.70,1.58,425.72,0.67,4.97,0.56
2024-12-22 22:09:41,72.00,23.70,0.97,54.56,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:43,72.10,23.70,0.97,54.56,0.70,1.58,425.72,0.67,4.97,0.56
2024-12-22 22:09:45,72.00,23.70,0.97,54.46,0.71,1.58,425.72,0.67,4.97,0.56
2024-12-22 22:09:47,71.90,23.70,0.97,54.56,0.71,1.58,425.72,0.67,4.97,0.56
2024-12-22 22:09:49,71.90,23.70,0.97,54.66,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:52,71.90,23.80,0.96,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:09:54,71.90,23.70,0.97,54.56,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:56,71.80,23.80,0.97,54.46,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:09:58,71.80,23.80,0.97,54.56,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:10:01,71.80,23.80,0.96,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:10:03,71.70,23.80,0.97,54.46,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:10:05,71.70,23.80,0.96,54.36,0.70,1.54,425.65,0.65,4.87,0.55
2024-12-22 22:10:07,71.70,23.80,0.96,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:10:09,71.70,23.80,0.97,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:10:12,71.70,23.80,0.97,54.36,0.70,1.56,425.67,0.65,4.91,0.55
2024-12-22 22:10:14,71.70,23.80,0.96,54.36,0.70,1.57,425.70,0.66,4.94,0.56
2024-12-22 22:10:16,71.60,23.80,0.96,54.36,0.69,1.54,425.65,0.65,4.87,0.55
2024-12-22 22:10:18,71.60,23.80,0.96,54.26,0.70,1.54,425.65,0.65,4.87,0.55
2024-12-22 22:10:20,71.60,23.80,0.96,54.16,0.70,1.54,425.65,0.65,4.87,0.55
2024-12-22 22:10:23,71.60,23.90,0.95,54.16,0.69,1.53,425.62,0.64,4.84,0.54
2024-12-22 22:10:25,71.60,23.80,0.96,54.16,0.69,1.53,425.62,0.64,4.84,0.54
2024-12-22 22:10:27,71.60,23.80,0.96,54.16,0.69,1.53,425.62,0.64,4.84,0.54
2024-12-22 22:10:29,71.50,23.90,0.94,54.06,0.69,1.50,425.57,0.63,4.78,0.53
2024-12-22 22:10:32,71.60,23.80,0.92,53.96,0.69,1.48,425.52,0.62,4.72,0.52
